OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
200,201589787727121,08/13/2015 08:14:00 PM,Thursday,Aug,13,2015,2000,Aug,13,2015,MURDER,FELONY,,073,Brooklyn,NYPD,1007750,180038,"(40.6608164570001, -73.915299574)"
201,201589787727127,08/14/2015 04:46:00 AM,Friday,Aug,14,2015,0400,Aug,14,2015,MURDER,FELONY,,073,Brooklyn,NYPD-HOUSING BUREAU,1009920,184130,"(40.672042058, -73.9074625919999)"
202,201589787727128,08/15/2015 07:49:00 AM,Saturday,Aug,15,2015,0700,Aug,15,2015,MURDER,FELONY,,081,Brooklyn,NYPD,1001019,190844,"(40.6904917960001, -73.939533459)"
203,201589787727145,08/16/2015 02:50:00 AM,Sunday,Aug,16,2015,0200,Aug,16,2015,MURDER,FELONY,,033,Manhattan,NYPD,1001080,243677,"(40.835504615, -73.939181229)"
204,201589787727142,08/16/2015 03:06:00 AM,Sunday,Aug,16,2015,0300,Aug,16,2015,MURDER,FELONY,,083,Brooklyn,NYPD,1009740,192204,"(40.6942038620001, -73.908080941)"
205,201589787727143,08/16/2015 04:53:00 AM,Sunday,Aug,16,2015,0400,Aug,16,2015,MURDER,FELONY,,103,Queens,NYPD,1047650,196031,"(40.704517669, -73.7713365879999)"
206,201589787727146,08/16/2015 10:15:00 PM,Sunday,Aug,16,2015,2200,Aug,16,2015,MURDER,FELONY,,069,Brooklyn,NYPD,1010641,175525,"(40.648421119, -73.904897109)"
207,201589787727196,08/17/2015 06:17:00 AM,Monday,Aug,17,2015,0600,Aug,17,2015,MURDER,FELONY,,083,Brooklyn,NYPD,1007090,193432,"(40.6975816710001, -73.917633042)"
208,201589787727189,08/21/2015 08:10:00 AM,Friday,Aug,21,2015,0800,Aug,21,2015,MURDER,FELONY,,025,Manhattan,NYPD,1001800,232216,"(40.8040460010001, -73.9366092669999)"
209,201589787727190,08/21/2015 05:07:00 PM,Friday,Aug,21,2015,1700,Aug,21,2015,MURDER,FELONY,,001,Manhattan,NYPD,982761,204595,"(40.728250797, -74.005373732)"
210,201589787727191,08/22/2015 01:23:00 AM,Saturday,Aug,22,2015,0100,Aug,22,2015,MURDER,FELONY,,042,Bronx,NYPD,1010750,242580,"(40.8324699470001, -73.904240156)"
211,201589787727195,08/22/2015 04:00:00 AM,Saturday,Aug,22,2015,0400,Aug,22,2015,MURDER,FELONY,,077,Brooklyn,NYPD,1003440,184082,"(40.671926727, -73.9308227399999)"
212,201589787727172,08/22/2015 06:05:00 AM,Saturday,Aug,22,2015,0600,Aug,22,2015,MURDER,FELONY,,052,Bronx,NYPD,1014610,255957,"(40.8691734010001, -73.8902309699999)"
213,201589787727192,08/22/2015 07:30:00 AM,Saturday,Aug,22,2015,0700,Aug,22,2015,MURDER,FELONY,,083,Brooklyn,NYPD,1005150,194759,"(40.7012287690001, -73.924625186)"
214,201589787727193,08/23/2015 09:55:00 PM,Sunday,Aug,23,2015,2100,Aug,23,2015,MURDER,FELONY,,070,Brooklyn,NYPD,997239,170494,"(40.634641898, -73.953203104)"
215,201589787727202,08/24/2015 12:50:00 AM,Monday,Aug,24,2015,0000,Aug,24,2015,MURDER,FELONY,,090,Brooklyn,NYPD-HOUSING BUREAU,999671,195730,"(40.70390518, -73.9443830769999)"
216,201589787727250,08/24/2015 04:03:00 AM,Monday,Aug,24,2015,0400,Aug,24,2015,MURDER,FELONY,,083,Brooklyn,NYPD,1008640,194204,"(40.6996964940001, -73.912040449)"
217,201589787727205,08/25/2015 11:05:00 AM,Tuesday,Aug,25,2015,1100,Aug,25,2015,MURDER,FELONY,,050,Bronx,NYPD,1011810,263289,"(40.889306644, -73.900324557)"
218,201589787727209,08/26/2015 01:19:00 PM,Wednesday,Aug,26,2015,1300,Aug,26,2015,MURDER,FELONY,,046,Bronx,NYPD,1011330,249447,"(40.851316088, -73.902116523)"
219,201589787727210,08/26/2015 10:15:00 PM,Wednesday,Aug,26,2015,2200,Aug,26,2015,MURDER,FELONY,,061,Brooklyn,NYPD-HOUSING BUREAU,1002230,156383,"(40.595901401, -73.935258506)"
220,201589787727214,08/28/2015 01:54:00 AM,Friday,Aug,28,2015,0100,Aug,28,2015,MURDER,FELONY,,071,Brooklyn,NYPD,995200,179386,"(40.659051273, -73.960535025)"
221,201589787727257,08/28/2015 10:00:00 PM,Friday,Aug,28,2015,2200,Aug,28,2015,MURDER,FELONY,,007,Manhattan,NYPD,987521,201066,"(40.7185640660001, -73.988201454)"
222,201589787727226,08/29/2015 05:00:00 AM,Saturday,Aug,29,2015,0500,Aug,29,2015,MURDER,FELONY,,114,Queens,NYPD,1003640,220930,"(40.7730651160001, -73.929995601)"
223,201589787727234,08/30/2015 08:46:00 PM,Sunday,Aug,30,2015,2000,Aug,30,2015,MURDER,FELONY,,043,Bronx,NYPD,1018780,240972,"(40.828028708, -73.875230987)"
224,201589787727227,08/30/2015 08:53:00 PM,Sunday,Aug,30,2015,2000,Aug,30,2015,MURDER,FELONY,,101,Queens,NYPD,1051030,156181,"(40.5951136130001, -73.759540532)"
225,201589787727254,08/31/2015 09:34:00 PM,Monday,Aug,31,2015,2100,Aug,31,2015,MURDER,FELONY,,070,Brooklyn,NYPD,998093,169824,"(40.632801597, -73.950127585)"
226,201589787727238,09/01/2015 03:45:00 AM,Tuesday,Sep,1,2015,0300,Sep,1,2015,MURDER,FELONY,,041,Bronx,NYPD,1012240,239768,"(40.824747217, -73.898867578)"
227,201589787727252,09/04/2015 12:12:00 AM,Friday,Sep,4,2015,0000,Sep,4,2015,MURDER,FELONY,,077,Brooklyn,NYPD,1003090,184597,"(40.6733410370001, -73.932083027)"
228,201589787727251,09/04/2015 05:07:00 AM,Friday,Sep,4,2015,0500,Sep,5,2015,MURDER,FELONY,,071,Brooklyn,NYPD,998749,181383,"(40.664527498, -73.9477392909999)"
229,201589787727290,09/05/2015 04:40:00 PM,Saturday,Sep,5,2015,1600,Sep,5,2015,MURDER,FELONY,,115,Queens,NYPD,1014710,212607,"(40.75018942, -73.8900661069999)"
230,201589787727271,09/05/2015 08:24:00 PM,Saturday,Sep,5,2015,2000,Sep,5,2015,MURDER,FELONY,,077,Brooklyn,NYPD,994856,184939,"(40.6742934440001, -73.961766148)"
231,201589787727278,09/07/2015 02:05:00 AM,Monday,Sep,7,2015,0200,Sep,7,2015,MURDER,FELONY,,077,Brooklyn,NYPD,992870,184447,"(40.67294517, -73.9689264309999)"
232,201589787727277,09/07/2015 03:42:00 AM,Monday,Sep,7,2015,0300,Sep,7,2015,MURDER,FELONY,,071,Brooklyn,NYPD,996187,181705,"(40.665415142, -73.956973537)"
233,201589787727283,09/08/2015 12:15:00 PM,Tuesday,Sep,8,2015,1200,Sep,8,2015,MURDER,FELONY,,014,Manhattan,NYPD,992154,216394,"(40.7606327, -73.9714700979999)"
234,201589787727368,09/08/2015 04:15:00 PM,Tuesday,Sep,8,2015,1600,Sep,8,2015,MURDER,FELONY,,014,Manhattan,NYPD,986962,214020,"(40.754119792, -73.990212802)"
235,201589787727286,09/09/2015 07:03:00 PM,Wednesday,Sep,9,2015,1900,Sep,9,2015,MURDER,FELONY,,077,Brooklyn,NYPD,1001200,185003,"(40.6744592370001, -73.938895476)"
236,201589787727291,09/10/2015 11:17:00 PM,Thursday,Sep,10,2015,2300,Sep,10,2015,MURDER,FELONY,,109,Queens,NYPD,1036223,223039,"(40.778722235, -73.812341547)"
237,201589787727306,09/11/2015 12:03:00 PM,Friday,Sep,11,2015,1200,Sep,11,2015,MURDER,FELONY,,101,Queens,NYPD,1051510,157483,"(40.5986836980001, -73.757799198)"
238,201589787727305,09/12/2015 05:33:00 AM,Saturday,Sep,12,2015,0500,Sep,12,2015,MURDER,FELONY,,061,Brooklyn,NYPD,990013,155365,"(40.5931235580001, -73.9792507179999)"
239,201589787727310,09/14/2015 09:09:00 PM,Monday,Sep,14,2015,2100,Sep,14,2015,MURDER,FELONY,,072,Brooklyn,NYPD,982447,173132,"(40.641891984, -74.006498214)"
240,201589787727307,09/14/2015 09:30:00 PM,Monday,Sep,14,2015,2100,Sep,14,2015,MURDER,FELONY,,040,Bronx,NYPD-HOUSING BUREAU,1008710,237887,"(40.8195948870001, -73.911629073)"
241,201589787727311,09/15/2015 03:06:00 PM,Tuesday,Sep,15,2015,1500,Sep,15,2015,MURDER,FELONY,,040,Bronx,NYPD-HOUSING BUREAU,1006540,238697,"(40.82182385, -73.919466445)"
242,201589787727360,09/16/2015 05:42:00 PM,Wednesday,Sep,16,2015,1700,Sep,16,2015,MURDER,FELONY,,046,Bronx,NYPD,1008839,248756,"(40.849426787, -73.911123163)"
243,201589787727313,09/17/2015 12:51:00 AM,Thursday,Sep,17,2015,0000,Sep,17,2015,MURDER,FELONY,,075,Brooklyn,NYPD,1017141,183798,"(40.671106911, -73.881432957)"
244,201589787727325,09/19/2015 05:40:00 PM,Saturday,Sep,19,2015,1700,Sep,19,2015,MURDER,FELONY,,070,Brooklyn,NYPD,994907,176068,"(40.6499444450001, -73.9615963099999)"
245,201589787727326,09/19/2015 07:56:00 PM,Saturday,Sep,19,2015,1900,Sep,19,2015,MURDER,FELONY,,048,Bronx,NYPD,1014658,247117,"(40.844910096, -73.89009752)"
246,201589787727328,09/19/2015 10:35:00 PM,Saturday,Sep,19,2015,2200,Sep,19,2015,MURDER,FELONY,,023,Manhattan,NYPD,1001630,229239,"(40.7958752850001, -73.9372310269999)"
247,201589787727329,09/20/2015 01:40:00 AM,Sunday,Sep,20,2015,0100,Sep,20,2015,MURDER,FELONY,,088,Brooklyn,NYPD,989209,192197,"(40.6942199640001, -73.982118597)"
248,201589787727330,09/20/2015 01:40:00 AM,Sunday,Sep,20,2015,0100,Sep,20,2015,MURDER,FELONY,,088,Brooklyn,NYPD,989209,192197,"(40.6942199640001, -73.982118597)"
249,201589787727331,09/20/2015 01:40:00 AM,Sunday,Sep,20,2015,0100,Sep,20,2015,MURDER,FELONY,,088,Brooklyn,NYPD,989209,192197,"(40.6942199640001, -73.982118597)"
250,201589787727332,09/20/2015 02:49:00 PM,Sunday,Sep,20,2015,1400,Sep,20,2015,MURDER,FELONY,,052,Bronx,NYPD,1013912,254446,"(40.8650285410001, -73.892761364)"
251,201589787727337,09/21/2015 01:26:00 AM,Monday,Sep,21,2015,0100,Sep,21,2015,MURDER,FELONY,,048,Bronx,NYPD,1011779,246746,"(40.843901255, -73.900504632)"
252,201589787727358,09/26/2015 02:00:00 AM,Saturday,Sep,26,2015,0200,Sep,26,2015,MURDER,FELONY,,042,Bronx,NYPD,1010040,241269,"(40.828873731, -73.906810875)"
253,201589787727357,09/26/2015 05:43:00 AM,Saturday,Sep,26,2015,0500,Sep,26,2015,MURDER,FELONY,,005,Manhattan,NYPD-HOUSING BUREAU,985279,197972,"(40.7100723180001, -73.996289846)"
254,201589787727356,09/27/2015 04:41:00 PM,Sunday,Sep,27,2015,1600,Sep,27,2015,MURDER,FELONY,,025,Manhattan,NYPD-HOUSING BUREAU,1002410,231302,"(40.8015360900001, -73.934408364)"
255,201589787727362,09/28/2015 03:59:00 AM,Monday,Sep,28,2015,0300,Sep,28,2015,MURDER,FELONY,,114,Queens,NYPD,1008440,218626,"(40.766729406, -73.912673936)"
256,201589787727367,09/28/2015 02:45:00 PM,Monday,Sep,28,2015,1400,Sep,28,2015,MURDER,FELONY,,052,Bronx,NYPD,1009090,252662,"(40.860146887, -73.9102014379999)"
257,201589787727369,09/30/2015 08:46:00 PM,Wednesday,Sep,30,2015,2000,Sep,30,2015,MURDER,FELONY,,045,Bronx,NYPD,1025710,244278,"(40.8370729050001, -73.8501697849999)"
