date,origin
8/15/2015,chicago
8/15/2015,chicago
8/16/2015,chicago
8/16/2015,chicago
8/17/2015,chicago
8/17/2015,chicago
8/17/2015,chicago
8/19/2015,chicago
8/20/2015,chicago
8/20/2015,chicago
8/21/2015,chicago
8/21/2015,chicago
8/22/2015,chicago
8/22/2015,chicago
8/23/2015,chicago
8/23/2015,chicago
8/23/2015,chicago
8/24/2015,chicago
8/25/2015,chicago
8/25/2015,chicago
8/25/2015,chicago
8/26/2015,chicago
8/26/2015,chicago
8/26/2015,chicago
8/28/2015,chicago
8/29/2015,chicago
8/29/2015,chicago
8/29/2015,chicago
8/30/2015,chicago
8/30/2015,chicago
8/31/2015,chicago
8/31/2015,chicago
8/31/2015,chicago
9/1/2015,chicago
9/2/2015,chicago
9/2/2015,chicago
9/2/2015,chicago
9/2/2015,chicago
9/2/2015,chicago
9/2/2015,chicago
9/2/2015,chicago
9/2/2015,chicago
9/2/2015,chicago
9/2/2015,chicago
9/3/2015,chicago
9/3/2015,chicago
9/4/2015,chicago
9/5/2015,chicago
9/5/2015,chicago
9/6/2015,chicago
9/6/2015,chicago
9/7/2015,chicago
9/7/2015,chicago
9/8/2015,chicago
9/9/2015,chicago
9/10/2015,chicago
9/13/2015,chicago
9/14/2015,chicago
9/14/2015,chicago
9/14/2015,chicago
9/14/2015,chicago
9/14/2015,chicago
9/15/2015,chicago
9/16/2015,chicago
9/16/2015,chicago
9/18/2015,chicago
9/19/2015,chicago
9/19/2015,chicago
9/19/2015,chicago
9/20/2015,chicago
9/20/2015,chicago
9/20/2015,chicago
9/20/2015,chicago
9/20/2015,chicago
9/20/2015,chicago
9/21/2015,chicago
9/22/2015,chicago
9/22/2015,chicago
9/23/2015,chicago
9/24/2015,chicago
9/24/2015,chicago
9/25/2015,chicago
9/26/2015,chicago
9/26/2015,chicago
9/27/2015,chicago
9/27/2015,chicago
9/27/2015,chicago
9/28/2015,chicago
9/28/2015,chicago
9/28/2015,chicago
9/29/2015,chicago
9/29/2015,chicago
9/29/2015,chicago
9/29/2015,chicago
9/30/2015,chicago
9/30/2015,chicago
10/1/2015,chicago
10/1/2015,chicago
10/4/2015,chicago
10/6/2015,chicago
10/6/2015,chicago
10/7/2015,chicago
10/8/2015,chicago
10/9/2015,chicago
10/10/2015,chicago
10/10/2015,chicago
10/11/2015,chicago
10/12/2015,chicago
10/13/2015,chicago
10/14/2015,chicago
10/14/2015,chicago
10/16/2015,chicago
10/16/2015,chicago
10/18/2015,chicago
10/18/2015,chicago
10/19/2015,chicago
10/19/2015,chicago
10/23/2015,chicago
10/24/2015,chicago
10/24/2015,chicago
10/24/2015,chicago
10/25/2015,chicago
10/26/2015,chicago
10/26/2015,chicago
10/30/2015,chicago
10/31/2015,chicago
11/1/2015,chicago
11/2/2015,chicago
11/2/2015,chicago
11/3/2015,chicago
11/3/2015,chicago
11/5/2015,chicago
11/7/2015,chicago
11/7/2015,chicago
11/7/2015,chicago
11/7/2015,chicago
11/9/2015,chicago
11/11/2015,chicago
11/11/2015,chicago
11/12/2015,chicago
11/12/2015,chicago
11/14/2015,chicago
11/18/2015,chicago
11/20/2015,chicago
11/21/2015,chicago
11/21/2015,chicago
11/22/2015,chicago
11/22/2015,chicago
11/22/2015,chicago
11/23/2015,chicago
11/25/2015,chicago
11/26/2015,chicago
11/26/2015,chicago
11/27/2015,chicago
11/27/2015,chicago
11/28/2015,chicago
11/28/2015,chicago
11/29/2015,chicago
11/29/2015,chicago
11/29/2015,chicago
11/29/2015,chicago
12/1/2015,chicago
12/1/2015,chicago
12/3/2015,chicago
12/4/2015,chicago
12/4/2015,chicago
12/5/2015,chicago
12/6/2015,chicago
12/9/2015,chicago
12/11/2015,chicago
12/13/2015,chicago
12/15/2015,chicago
12/16/2015,chicago
12/17/2015,chicago
12/17/2015,chicago
12/17/2015,chicago
12/17/2015,chicago
12/20/2015,chicago
12/20/2015,chicago
12/21/2015,chicago
12/21/2015,chicago
12/23/2015,chicago
12/23/2015,chicago
12/24/2015,chicago
12/24/2015,chicago
12/25/2015,chicago
12/26/2015,chicago
12/26/2015,chicago
12/27/2015,chicago
12/27/2015,chicago
