ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
21737,HY126583,01/24/2015 02:13:00 AM,045XX W WEST END AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1113,011,28,26,01A,1145947,1900586,2015,08/17/2015 03:03:40 PM,41.883196036,-87.739535384,"(41.883196036, -87.739535384)"
21738,HY128133,01/27/2015 11:54:00 AM,035XX W 24TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1024,010,22,30,01A,1153331,1887832,2015,08/17/2015 03:03:40 PM,41.848054237,-87.712759263,"(41.848054237, -87.712759263)"
21739,HY130523,01/27/2015 09:00:00 PM,006XX E 51ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0223,002,4,38,01A,1181558,1871341,2015,08/17/2015 03:03:40 PM,41.802195281,-87.609675541,"(41.802195281, -87.609675541)"
21741,HY132431,01/29/2015 02:06:00 AM,119XX S YALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0522,005,9,53,01A,1176760,1825767,2015,08/17/2015 03:03:40 PM,41.677244043,-87.628640273,"(41.677244043, -87.628640273)"
21742,HY132441,01/29/2015 03:20:00 AM,012XX W 32ND ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,0913,009,11,60,01A,1168446,1883582,2015,10/16/2015 03:50:02 PM,41.83607872,-87.657409354,"(41.83607872, -87.657409354)"
21743,HY134398,01/30/2015 05:52:00 PM,070XX S HONORE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0735,007,17,67,01A,1165232,1858076,2015,08/17/2015 03:03:40 PM,41.766156013,-87.669924987,"(41.766156013, -87.669924987)"
21749,HY126100,01/30/2015 06:53:00 PM,015XX S TRUMBULL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1021,010,24,29,01A,1153621,1892185,2015,08/17/2015 03:03:40 PM,41.859993621,-87.711579264,"(41.859993621, -87.711579264)"
21744,HY135181,01/31/2015 12:02:00 PM,081XX S CHAPPEL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0414,004,8,46,01A,1191275,1851362,2015,08/17/2015 03:03:40 PM,41.747141383,-87.574686235,"(41.747141383, -87.574686235)"
21745,HY136615,02/01/2015 08:53:00 PM,023XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0131,001,2,33,01A,1177578,1888860,2015,08/17/2015 03:03:40 PM,41.850359857,-87.623741058,"(41.850359857, -87.623741058)"
21746,HY136871,02/02/2015 09:16:00 AM,004XX E 48TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,0223,002,3,38,01A,1180000,1872959,2015,08/17/2015 03:03:40 PM,41.806671065,-87.615339745,"(41.806671065, -87.615339745)"
21750,HY135441,02/02/2015 11:33:00 PM,100XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,true,true,0511,005,9,49,01A,1178985,1838617,2015,08/17/2015 03:03:40 PM,41.712456039,-87.620106677,"(41.712456039, -87.620106677)"
21748,HY139558,02/04/2015 04:07:00 PM,031XX W 84TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,0835,008,18,70,01A,1157018,1848405,2015,08/17/2015 03:03:40 PM,41.739787158,-87.700293265,"(41.739787158, -87.700293265)"
21818,HY132431,02/05/2015 07:00:00 AM,119XX S YALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0522,005,9,53,01A,1176760,1825767,2015,08/17/2015 03:03:40 PM,41.677244043,-87.628640273,"(41.677244043, -87.628640273)"
21755,HY144198,02/08/2015 12:15:00 PM,113XX S PARNELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,2233,022,34,49,01A,1174663,1829706,2015,08/17/2015 03:03:40 PM,41.688100085,-87.636199237,"(41.688100085, -87.636199237)"
21752,HY144738,02/08/2015 11:26:00 PM,060XX W GRAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2512,025,37,19,01A,1135889,1914170,2015,08/17/2015 03:03:40 PM,41.920657269,-87.776145534,"(41.920657269, -87.776145534)"
21757,HY145267,02/09/2015 11:10:00 AM,002XX S LOTUS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1522,015,29,25,01A,1139926,1898213,2015,08/17/2015 03:03:40 PM,41.876796412,-87.761703187,"(41.876796412, -87.761703187)"
21753,HY146099,02/09/2015 09:31:00 PM,001XX N WOOD ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,true,1223,012,27,28,01A,1164387,1900945,2015,08/17/2015 03:03:40 PM,41.883811077,-87.671812366,"(41.883811077, -87.671812366)"
